2018-02-27	18:57
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058            -40,411             89,473
 12,666            -38,410             89,188
 15,832            -36,489             88,886
 19,930            -34,482             88,911
 25,146            -32,484             88,867
 31,665            -30,433             88,330
 39,861            -28,426             87,891
 50,105            -26,426             87,537
 63,144            -24,435             86,631
 79,349            -22,483             85,774
100,024            -20,492             84,508
125,915            -18,509             83,176
158,511            -16,546             81,290
199,489            -14,611             79,063
251,271            -12,697             76,405
316,277            -10,838             73,073
398,047             -9,047             69,020
501,238             -7,331             64,295
630,878             -5,776             58,760
794,418             -4,414             52,946
1000,054             -3,253             46,348
1258,962             -2,336             39,579
1584,925             -1,607             33,442
1995,265             -1,093             27,700
2511,963             -0,747             22,661
3162,213             -0,505             18,318
3981,031             -0,330             14,700
5011,819             -0,222             11,691
6309,524             -0,161              9,457
7943,250             -0,119              7,492
9999,983             -0,086              6,060
